"","course","university","type","rate","students","level"
"1","Introduction to Web Development","University of California, Davis","COURSE","4.7",76000,"Beginner"
"2","How To Create a Website in a Weekend! (Project-Centered Course)","The State University of New York","COURSE","3.3",140000,"Mixed"
"3","HTML, CSS, and Javascript for Web Developers","Johns Hopkins University","COURSE","4.8",240000,"Mixed"
"4","Introduction to User Experience Design","Georgia Institute of Technology","COURSE","4.5",87000,"Beginner"
"5","Visual Elements of User Interface Design","California Institute of the Arts","COURSE","4.8",53000,"Beginner"
"6","Bachelor of Science in Computer Science","University of London","DEGREE",NA,NA,NA
"7","Introduction to HTML5","University of Michigan","COURSE","4.7",220000,"Mixed"
"8","Learning How to Learn: Powerful mental tools to help you master tough subjects","University of California San Diego","COURSE","4.8",2300000,"Mixed"
"9","Code Yourself! An Introduction to Programming","The University of Edinburgh","COURSE","4.7",120000,"Beginner"
"10","Interactive Computer Graphics","The University of Tokyo","COURSE","4.3",47000,"Intermediate"
"11","Основы HTML и CSS","Moscow Institute of Physics and Technology","COURSE","4.6",15000,"Beginner"
"12","Responsive Web Design","Goldsmiths, University of London","COURSE","4.6",61000,"Mixed"
"13","Innovation Through Design: Think, Make, Break, Repeat","The University of Sydney","COURSE","4.8",10000,"Beginner"
"14","Responsive Website Basics: Code with HTML, CSS, and JavaScript","Goldsmiths, University of London","COURSE","4.5",110000,"Mixed"
"15","Managing the Company of the Future","London Business School","COURSE","4.8",50000,"Mixed"
"16","Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences","UNSW Sydney (The University of New South Wales)","COURSE","4.8",45000,"Mixed"
"17","The Strategy of Content Marketing","University of California, Davis","COURSE","4.5",1e+05,"Intermediate"
"18","The Language of Design: Form and Meaning","California Institute of the Arts","COURSE","4.6",21000,"Beginner"
"19","Photography Techniques: Light, Content, and Sharing","Michigan State University","COURSE","4.8",34000,"Mixed"
"20","Learning to Teach Online","UNSW Sydney (The University of New South Wales)","COURSE","4.7",68000,"Beginner"
"21","Estrategias de  Redes Sociales","Universidad Austral","COURSE","4.6",16000,"Beginner"
"22","Web Design: Strategy and Information Architecture","California Institute of the Arts","COURSE","4.8",14000,"Intermediate"
"23","Introduction to UI Design","University of Minnesota","COURSE","4.7",33000,"Beginner"
"24","Web Design: Wireframes to Prototypes","California Institute of the Arts","COURSE","4.9",12000,"Intermediate"
"25","Web Design for Everybody Capstone","University of Michigan","COURSE","4.8",8000,"Mixed"
"26","Marketing Digital","Universidade de São Paulo","COURSE","4.8",81000,"Beginner"
"27","UX Design Fundamentals","California Institute of the Arts","COURSE","4.8",25000,"Beginner"
"28","Introduction to CSS3","University of Michigan","COURSE","4.8",84000,"Mixed"
"29","Interactivity with JavaScript","University of Michigan","COURSE","4.7",90000,"Mixed"
"30","Optimizing a Website for Search","University of California, Davis","COURSE","4.7",26000,"Intermediate"
"31","Advertising and Society","Duke University","COURSE","4.8",14000,"Mixed"
"32","Social Media Advertising","University of Colorado Boulder","COURSE","4.5",5300,"Beginner"
"33","Programming Foundations with JavaScript, HTML and CSS","Duke University","COURSE","4.6",250000,"Beginner"
"34","Introduction to Search Engine Optimization","University of California, Davis","COURSE","4.6",94000,"Mixed"
"35","Front-End Web UI Frameworks and Tools: Bootstrap 4","The Hong Kong University of Science and Technology","COURSE","4.8",89000,"Intermediate"
"36","Front-End Web Development with React","The Hong Kong University of Science and Technology","COURSE","4.7",45000,"Intermediate"
"37","An Introduction to Accessibility and Inclusive Design","University of Illinois at Urbana-Champaign","COURSE","4.8",2200,"Beginner"
